student_id,Frame,Emotions,Main Emotion,Face Position
student_3,110,"{'angry': 1.3060777448117733, 'disgust': 8.527771544475371e-09, 'fear': 0.013898371253162622, 'happy': 21.603001654148102, 'sad': 0.34141133073717356, 'surprise': 0.00017050105043381336, 'neutral': 76.7354428768158}",neutral,"{'x': 764, 'y': 478, 'w': 26, 'h': 35, 'left_eye': (775, 493), 'right_eye': (788, 492)}"
student_4,110,"{'angry': 6.19727931602474, 'disgust': 0.11864393725359065, 'fear': 7.296181159983942, 'happy': 0.0070572798563315635, 'sad': 82.42963447747437, 'surprise': 0.019277463128098884, 'neutral': 3.9319275428013527}",sad,"{'x': 606, 'y': 489, 'w': 24, 'h': 30, 'left_eye': (612, 500), 'right_eye': (625, 501)}"
student_0,120,"{'angry': 1.703001383167802e-09, 'disgust': 2.3892922485909138e-11, 'fear': 2.1977275477143003e-09, 'happy': 99.99997019767584, 'sad': 5.8540964457003514e-08, 'surprise': 1.1091786787846023e-10, 'neutral': 2.9750090743347706e-05}",happy,"{'x': 531, 'y': 601, 'w': 56, 'h': 67, 'left_eye': (542, 629), 'right_eye': (566, 625)}"
student_2,120,"{'angry': 0.13124814722687006, 'disgust': 0.0024324712285306305, 'fear': 0.024736265186220407, 'happy': 62.88422346115112, 'sad': 1.880042441189289, 'surprise': 1.424448470288553e-05, 'neutral': 35.077306628227234}",happy,"{'x': 1236, 'y': 605, 'w': 52, 'h': 64, 'left_eye': (1248, 629), 'right_eye': (1273, 634)}"
student_1,120,"{'angry': 98.65549818807862, 'disgust': 4.8509215162931474e-09, 'fear': 0.0009551085666426024, 'happy': 0.0002715211980204672, 'sad': 0.1387171514743982, 'surprise': 4.509122259839997e-08, 'neutral': 1.204550960862522}",angry,"{'x': 1462, 'y': 595, 'w': 53, 'h': 60, 'left_eye': (1478, 618), 'right_eye': (1502, 624)}"
student_3,120,"{'angry': 0.15713813936926252, 'disgust': 1.326397861077926e-09, 'fear': 0.009596728652593431, 'happy': 0.08481462289926435, 'sad': 0.35485374236360284, 'surprise': 1.5308078667239453e-05, 'neutral': 99.39357645588201}",neutral,"{'x': 764, 'y': 479, 'w': 26, 'h': 35, 'left_eye': (775, 493), 'right_eye': (788, 492)}"
student_4,120,"{'angry': 60.03422021457908, 'disgust': 2.6967455212181184, 'fear': 1.8654850881713523, 'happy': 0.05503412029299196, 'sad': 26.633009119867193, 'surprise': 0.13100365943418033, 'neutral': 8.584499080836883}",angry,"{'x': 606, 'y': 488, 'w': 25, 'h': 31, 'left_eye': (612, 500), 'right_eye': (625, 500)}"
student_0,130,"{'angry': 6.83558198488754e-05, 'disgust': 3.485070565467652e-08, 'fear': 1.617454281621633e-07, 'happy': 99.98743534088135, 'sad': 6.899490472278558e-05, 'surprise': 3.1437781267129594e-07, 'neutral': 0.012426772445905954}",happy,"{'x': 528, 'y': 599, 'w': 59, 'h': 70, 'left_eye': (541, 630), 'right_eye': (567, 626)}"
student_1,130,"{'angry': 93.95103382480548, 'disgust': 2.890651263222428e-06, 'fear': 0.02901018943014019, 'happy': 0.000721482906161516, 'sad': 1.5022154825586655, 'surprise': 1.0985824760549824e-05, 'neutral': 4.5170096477281625}",angry,"{'x': 1461, 'y': 594, 'w': 54, 'h': 61, 'left_eye': (1477, 619), 'right_eye': (1502, 624)}"
student_2,130,"{'angry': 3.6808181554079056, 'disgust': 0.000420610876972205, 'fear': 0.11113581713289022, 'happy': 0.13163164258003235, 'sad': 3.1449541449546814, 'surprise': 7.13475003522035e-06, 'neutral': 92.93103814125061}",neutral,"{'x': 1237, 'y': 607, 'w': 49, 'h': 62, 'left_eye': (1249, 630), 'right_eye': (1273, 636)}"
student_3,130,"{'angry': 0.002216119901277125, 'disgust': 4.591360386503596e-12, 'fear': 5.764137966934868e-06, 'happy': 0.014394085155799985, 'sad': 0.002617448080854956, 'surprise': 6.8787329610131565e-06, 'neutral': 99.98076558113098}",neutral,"{'x': 763, 'y': 479, 'w': 27, 'h': 36, 'left_eye': (772, 493), 'right_eye': (785, 493)}"
student_4,130,"{'angry': 8.833286166191101, 'disgust': 0.04729561333078891, 'fear': 18.7577486038208, 'happy': 0.0008684430213179439, 'sad': 72.29483127593994, 'surprise': 0.0037913006963208318, 'neutral': 0.06217839545570314}",sad,"{'x': 606, 'y': 489, 'w': 23, 'h': 30, 'left_eye': (613, 501), 'right_eye': (626, 501)}"
student_0,140,"{'angry': 0.023507987444299456, 'disgust': 5.1807112090710595e-05, 'fear': 0.004808614462615294, 'happy': 99.53282472686915, 'sad': 0.01595735033859538, 'surprise': 0.00012255851109511657, 'neutral': 0.4227285059677664}",happy,"{'x': 530, 'y': 602, 'w': 57, 'h': 67, 'left_eye': (542, 630), 'right_eye': (568, 625)}"
student_2,140,"{'angry': 6.933768093585968, 'disgust': 0.013463011418934911, 'fear': 0.75948191806674, 'happy': 43.3163583278656, 'sad': 2.582037076354027, 'surprise': 0.000932328293856699, 'neutral': 46.39396071434021}",neutral,"{'x': 1235, 'y': 605, 'w': 54, 'h': 65, 'left_eye': (1249, 629), 'right_eye': (1274, 635)}"
student_1,140,"{'angry': 61.034178733825684, 'disgust': 4.402211573051318e-06, 'fear': 0.016054711886681616, 'happy': 0.00260696979239583, 'sad': 4.702542349696159, 'surprise': 1.2961407946932013e-05, 'neutral': 34.2445969581604}",angry,"{'x': 1460, 'y': 594, 'w': 55, 'h': 62, 'left_eye': (1477, 619), 'right_eye': (1502, 624)}"
student_3,140,"{'angry': 1.3112493640929082, 'disgust': 0.00032614991266615166, 'fear': 0.1392635250583902, 'happy': 0.38377593696272, 'sad': 4.050667452851978, 'surprise': 0.0019545644391603992, 'neutral': 94.11276543812546}",neutral,"{'x': 762, 'y': 479, 'w': 27, 'h': 35, 'left_eye': (770, 493), 'right_eye': (784, 493)}"
student_4,140,"{'angry': 37.920065174095015, 'disgust': 0.29470728456738177, 'fear': 32.21101376879051, 'happy': 0.04505346050314331, 'sad': 29.173251489013257, 'surprise': 0.06638035201776302, 'neutral': 0.289518724141273}",angry,"{'x': 606, 'y': 489, 'w': 25, 'h': 30, 'left_eye': (613, 501), 'right_eye': (626, 501)}"
student_0,150,"{'angry': 0.6044597259586886, 'disgust': 7.58083419038262e-06, 'fear': 10.207834703197163, 'happy': 88.99836474647311, 'sad': 0.02131620985617622, 'surprise': 0.001185364251508901, 'neutral': 0.16683174593116318}",happy,"{'x': 530, 'y': 602, 'w': 56, 'h': 65, 'left_eye': (544, 631), 'right_eye': (569, 626)}"
student_1,150,"{'angry': 54.3398916721344, 'disgust': 0.010347323404857889, 'fear': 0.033419663668610156, 'happy': 13.575835525989532, 'sad': 13.712981343269348, 'surprise': 5.991337559407839e-06, 'neutral': 18.32752227783203}",angry,"{'x': 1460, 'y': 594, 'w': 56, 'h': 61, 'left_eye': (1478, 620), 'right_eye': (1502, 625)}"
student_2,150,"{'angry': 88.2072925567627, 'disgust': 3.5372713114156795e-05, 'fear': 1.329343393445015, 'happy': 5.0742123275995255, 'sad': 4.447056353092194, 'surprise': 6.300475252629667e-07, 'neutral': 0.9420632384717464}",angry,"{'x': 1235, 'y': 607, 'w': 53, 'h': 63, 'left_eye': (1250, 632), 'right_eye': (1271, 634)}"
student_3,150,"{'angry': 0.41815568692982197, 'disgust': 1.9378767035505007e-05, 'fear': 0.10487654944881797, 'happy': 0.09161506895907223, 'sad': 3.2317083328962326, 'surprise': 0.0003292105475338758, 'neutral': 96.15330100059509}",neutral,"{'x': 762, 'y': 479, 'w': 25, 'h': 35, 'left_eye': (769, 493), 'right_eye': (783, 493)}"
student_4,150,"{'angry': 84.40564181838285, 'disgust': 0.001202879392469098, 'fear': 5.285867991201162, 'happy': 0.00901629809131201, 'sad': 10.285074876849347, 'surprise': 0.006044406833212858, 'neutral': 0.007152654569614578}",angry,"{'x': 606, 'y': 488, 'w': 24, 'h': 31, 'left_eye': (614, 501), 'right_eye': (626, 500)}"
student_0,160,"{'angry': 6.012424454092979, 'disgust': 0.0005447529929369921, 'fear': 1.9802182912826538, 'happy': 65.54056406021118, 'sad': 0.5377576220780611, 'surprise': 0.024783838307484984, 'neutral': 25.903713703155518}",happy,"{'x': 532, 'y': 601, 'w': 55, 'h': 67, 'left_eye': (546, 630), 'right_eye': (571, 625)}"
