student_id,Frame,Emotions,Main Emotion,Region,Face Position
student_2,240,"{'angry': 0.006703631444308139, 'disgust': 1.6242839553927005e-10, 'fear': 0.00036356386985694956, 'happy': 5.299505704700267, 'sad': 0.005122802875615872, 'surprise': 0.003512459752177961, 'neutral': 94.68478623809979}",neutral,"{'x': 1467, 'y': 600, 'w': 59, 'h': 63, 'left_eye': (1513, 629), 'right_eye': (1489, 623)}","['Forward', array([-19.032461], dtype=float32), array([-5.1159687], dtype=float32), array([13.538322], dtype=float32)]"
student_0,240,"{'angry': 6.919797509908676, 'disgust': 2.069964425560622e-10, 'fear': 0.11429301230236888, 'happy': 0.10282457806169987, 'sad': 4.2689889669418335, 'surprise': 0.00015492634020120022, 'neutral': 88.59394192695618}",neutral,"{'x': 536, 'y': 611, 'w': 55, 'h': 64, 'left_eye': (576, 633), 'right_eye': (552, 641)}","['Forward', array([-22.014769], dtype=float32), array([-11.022949], dtype=float32), array([-15.457297], dtype=float32)]"
student_1,240,"{'angry': 0.0004965315383742563, 'disgust': 4.335504968366877e-05, 'fear': 35.56748926639557, 'happy': 12.462262064218521, 'sad': 33.59152376651764, 'surprise': 2.9082201535857166e-05, 'neutral': 18.378153443336487}",fear,"{'x': 1260, 'y': 609, 'w': 49, 'h': 55, 'left_eye': (1303, 635), 'right_eye': (1284, 635)}","['Forward', array([-24.01816], dtype=float32), array([-27.658834], dtype=float32), array([12.352955], dtype=float32)]"
student_3,240,"{'angry': 0.1943222479304521, 'disgust': 4.7333012555186026e-08, 'fear': 0.014240644789674567, 'happy': 14.538890989952742, 'sad': 0.12008012988150894, 'surprise': 0.00014730122498215958, 'neutral': 85.13231784893976}",neutral,"{'x': 765, 'y': 473, 'w': 27, 'h': 37, 'left_eye': (785, 488), 'right_eye': (773, 488)}","['Forward', array([-12.380378], dtype=float32), array([-23.076715], dtype=float32), array([4.920295], dtype=float32)]"
student_4,240,"{'angry': 0.11479294146108278, 'disgust': 5.8951164133476705e-08, 'fear': 0.16040092824554017, 'happy': 0.0009313629207443232, 'sad': 99.32454820421626, 'surprise': 0.000960914679103102, 'neutral': 0.3983661769846783}",sad,"{'x': 608, 'y': 490, 'w': 24, 'h': 29, 'left_eye': (625, 500), 'right_eye': (615, 501)}","['Forward', array([-16.038322], dtype=float32), array([-13.456203], dtype=float32), array([-0.40872535], dtype=float32)]"
student_0,300,"{'angry': 9.028910100460052, 'disgust': 7.671191326608096e-06, 'fear': 15.997518599033356, 'happy': 2.5891954079270363, 'sad': 70.44811248779297, 'surprise': 0.00047568187255819794, 'neutral': 1.9357837736606598}",sad,"{'x': 537, 'y': 603, 'w': 56, 'h': 65, 'left_eye': (580, 625), 'right_eye': (557, 634)}","['Forward', array([-12.183105], dtype=float32), array([-23.186615], dtype=float32), array([-18.087894], dtype=float32)]"
student_2,300,"{'angry': 61.66215538978577, 'disgust': 0.0004613621513271937, 'fear': 0.30028626788407564, 'happy': 0.0013339013094082475, 'sad': 37.64379024505615, 'surprise': 1.967833753724335e-05, 'neutral': 0.3919514827430248}",angry,"{'x': 1463, 'y': 589, 'w': 52, 'h': 63, 'left_eye': (1507, 612), 'right_eye': (1487, 615)}","['Forward', array([-10.391894], dtype=float32), array([-26.463356], dtype=float32), array([1.170865], dtype=float32)]"
student_5,300,"{'angry': 2.1123291924595833, 'disgust': 5.701604521846093e-06, 'fear': 0.024299418146256357, 'happy': 97.84745573997498, 'sad': 0.003558141179382801, 'surprise': 0.0002077303861369728, 'neutral': 0.012142671039327979}",happy,"{'x': 1267, 'y': 598, 'w': 47, 'h': 57, 'left_eye': (1307, 626), 'right_eye': (1293, 626)}","['Left', array([-19.237722], dtype=float32), array([-62.48198], dtype=float32), array([15.758699], dtype=float32)]"
student_3,300,"{'angry': 1.2740298002380013, 'disgust': 3.2233235781063597e-07, 'fear': 0.007898678193348836, 'happy': 0.29105259443387954, 'sad': 0.10850139143326232, 'surprise': 0.0021226850905007176, 'neutral': 98.3163951823947}",neutral,"{'x': 764, 'y': 476, 'w': 28, 'h': 38, 'left_eye': (784, 492), 'right_eye': (771, 492)}","['Forward', array([-13.880104], dtype=float32), array([-6.446766], dtype=float32), array([2.1102195], dtype=float32)]"
student_4,300,"{'angry': 0.30163390225810977, 'disgust': 2.409386847028802e-07, 'fear': 0.9174734191628194, 'happy': 0.0003945817282159475, 'sad': 97.74402406882953, 'surprise': 0.00017864407626326615, 'neutral': 1.0362897695553577}",sad,"{'x': 609, 'y': 489, 'w': 23, 'h': 29, 'left_eye': (626, 500), 'right_eye': (616, 500)}","['Forward', array([-19.09659], dtype=float32), array([-7.252458], dtype=float32), array([1.5800864], dtype=float32)]"
student_2,420,"{'angry': 0.0013669890904566273, 'disgust': 6.5523433033509715e-12, 'fear': 1.4724910180063944e-06, 'happy': 3.3380836248397827, 'sad': 0.0014493836715701036, 'surprise': 9.153470159617427e-05, 'neutral': 96.65900468826294}",neutral,"{'x': 1461, 'y': 592, 'w': 59, 'h': 62, 'left_eye': (1508, 621), 'right_eye': (1487, 618)}","['Forward', array([-16.227558], dtype=float32), array([-14.127184], dtype=float32), array([9.311647], dtype=float32)]"
student_0,420,"{'angry': 0.007374476263066754, 'disgust': 2.2420685981080525e-12, 'fear': 17.866350710392, 'happy': 0.0002331391897314461, 'sad': 33.9320570230484, 'surprise': 5.779034140118711e-06, 'neutral': 48.1939822435379}",neutral,"{'x': 540, 'y': 604, 'w': 55, 'h': 64, 'left_eye': (586, 628), 'right_eye': (561, 635)}","['Forward', array([-17.975035], dtype=float32), array([-29.92221], dtype=float32), array([-15.368488], dtype=float32)]"
student_5,420,"{'angry': 0.0009361083357362077, 'disgust': 3.2245814352016566e-08, 'fear': 84.26992893218994, 'happy': 0.0020493338524829596, 'sad': 15.167336165904999, 'surprise': 0.001521057311038021, 'neutral': 0.5582260433584452}",fear,"{'x': 1265, 'y': 589, 'w': 49, 'h': 58, 'left_eye': (1306, 617), 'right_eye': (1290, 614)}","['Left', array([-7.771007], dtype=float32), array([-38.962975], dtype=float32), array([14.460178], dtype=float32)]"
student_3,420,"{'angry': 0.004778433867613785, 'disgust': 2.449843713309141e-10, 'fear': 5.762489081462263e-05, 'happy': 2.83452644944191, 'sad': 0.00221481950575253, 'surprise': 5.3145652145758504e-05, 'neutral': 97.15837240219116}",neutral,"{'x': 763, 'y': 479, 'w': 28, 'h': 38, 'left_eye': (782, 494), 'right_eye': (770, 494)}","['Forward', array([-13.0341425], dtype=float32), array([-6.6597214], dtype=float32), array([1.8607942], dtype=float32)]"
student_4,420,"{'angry': 0.1852865214459598, 'disgust': 1.671897731370109e-07, 'fear': 2.0459381863474846, 'happy': 0.00016968801901384722, 'sad': 97.08597660064697, 'surprise': 0.0002676886651897803, 'neutral': 0.6823607720434666}",sad,"{'x': 609, 'y': 490, 'w': 24, 'h': 29, 'left_eye': (626, 500), 'right_eye': (617, 500)}","['Forward', array([-13.531517], dtype=float32), array([-13.913586], dtype=float32), array([-1.4091986], dtype=float32)]"
student_2,480,"{'angry': 0.000555497535970062, 'disgust': 5.7003159787891167e-11, 'fear': 1.0177242160125388e-05, 'happy': 0.010650214971974492, 'sad': 0.00402722398575861, 'surprise': 2.091665507464313e-06, 'neutral': 99.98475313186646}",neutral,"{'x': 1460, 'y': 595, 'w': 61, 'h': 62, 'left_eye': (1504, 627), 'right_eye': (1481, 619)}","['Forward', array([-16.6562], dtype=float32), array([1.443106], dtype=float32), array([19.293993], dtype=float32)]"
student_0,480,"{'angry': 0.02978374605283094, 'disgust': 1.2349791107589518e-06, 'fear': 84.27339604775858, 'happy': 0.752648195567512, 'sad': 4.41913284887467, 'surprise': 0.002637481835063244, 'neutral': 10.522411527921143}",fear,"{'x': 540, 'y': 603, 'w': 54, 'h': 65, 'left_eye': (585, 627), 'right_eye': (560, 634)}","['Forward', array([-17.757702], dtype=float32), array([-29.687277], dtype=float32), array([-15.74924], dtype=float32)]"
